lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Cempaka Mas, Jakarta Pusat",3,2,94,1000000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",1,1,33,650000000
"Cempaka Putih, Jakarta Pusat",1,1,21,275000000
"Cempaka Putih, Jakarta Pusat",2,1,74,675000000
"Cempaka Putih, Jakarta Pusat",2,1,33,470000000
"Cempaka Putih, Jakarta Pusat",2,1,33,750000000
"Cempaka Mas, Jakarta Pusat",3,2,94,700000000
"Cempaka Putih, Jakarta Pusat",2,2,91,2000000000
"Cempaka Mas, Jakarta Pusat",3,2,94,950000000
"Cempaka Putih, Jakarta Pusat",2,1,33,525000000
"Cempaka Putih, Jakarta Pusat",2,1,36,650000000
"Cempaka Putih, Jakarta Pusat",2,1,34,300000000
"Cempaka Putih, Jakarta Pusat",2,1,34,300000000
"Cempaka Mas, Jakarta Pusat",3,2,94,980000000
"Cempaka Mas, Jakarta Pusat",3,2,94,950000000
"Cempaka Putih, Jakarta Pusat",2,1,36,475000000
"Cempaka Putih, Jakarta Pusat",1,1,34,1310000000
"Cempaka Putih, Jakarta Pusat",1,1,21,500000000
"Cempaka Putih, Jakarta Pusat",2,1,33,460000000
"Cempaka Putih, Jakarta Pusat",1,1,34,1340000000
"Cempaka Putih, Jakarta Pusat",2,2,54,850000000
"Cempaka Putih, Jakarta Pusat",2,1,89,1870000000
"Cempaka Putih, Jakarta Pusat",3,1,75,1200000000
"Cempaka Putih, Jakarta Pusat",2,1,91,2100000000
"Cempaka Putih, Jakarta Pusat",3,3,91,1900000000
"Cempaka Putih, Jakarta Pusat",2,1,33,400000000
"Cempaka Putih, Jakarta Pusat",2,1,33,750000000
"Cempaka Putih, Jakarta Pusat",2,1,33,300000000
"Cempaka Mas, Jakarta Pusat",3,2,74,700000000
"Cempaka Putih, Jakarta Pusat",2,1,33,750000000
"Cempaka Putih, Jakarta Pusat",2,1,33,750000000
"Cempaka Putih, Jakarta Pusat",2,2,76,1700000000
