lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Kemayoran, Jakarta Pusat",3,2,70,750000000
"Kemayoran, Jakarta Pusat",2,1,35,490000000
"Kemayoran, Jakarta Pusat",2,1,50,675000000
"Kemayoran, Jakarta Pusat",2,1,72,1290000000
"Kemayoran, Jakarta Pusat",1,1,33,565000000
"Kemayoran, Jakarta Pusat",2,1,45,560000000
"Kemayoran, Jakarta Pusat",1,1,42,700000000
"Kemayoran, Jakarta Pusat",3,2,70,650000000
"Kemayoran, Jakarta Pusat",3,1,52,700000000
"Kemayoran, Jakarta Pusat",2,2,165,3000000000
"Kemayoran, Jakarta Pusat",3,2,70,650000000
"Kemayoran, Jakarta Pusat",3,2,70,650000000
"Kemayoran, Jakarta Pusat",3,2,70,650000000
"Kemayoran, Jakarta Pusat",3,2,92,900000000
"Kemayoran, Jakarta Pusat",2,1,57,850000000
"Kemayoran, Jakarta Pusat",3,2,99,1990000000
"Kemayoran, Jakarta Pusat",2,1,85,1650000000
"Kemayoran, Jakarta Pusat",1,1,73,1100000000
"Kemayoran, Jakarta Pusat",3,2,54,1500000000
"Kemayoran, Jakarta Pusat",3,1,82,900000000
"Kemayoran, Jakarta Pusat",2,1,73,1200000000
"Kemayoran, Jakarta Pusat",2,2,165,2900000000
"Kemayoran, Jakarta Pusat",2,1,44,550000000
"Kemayoran, Jakarta Pusat",2,1,70,1000000000
"Kemayoran, Jakarta Pusat",2,1,70,1000000000
"Kemayoran, Jakarta Pusat",3,3,88,3150000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",3,3,88,3150000000
"Kemayoran, Jakarta Pusat",2,3,88,3150000000
"Kemayoran, Jakarta Pusat",2,1,80,1650000000
"Kemayoran, Jakarta Pusat",1,1,56,500000000
"Kemayoran, Jakarta Pusat",1,1,33,575000000
"Kemayoran, Jakarta Pusat",1,1,35,1380000000
"Kemayoran, Jakarta Pusat",1,1,57,850000000
"Kemayoran, Jakarta Pusat",2,1,59,1100000000
"Kemayoran, Jakarta Pusat",2,1,60,850000000
"Kemayoran, Jakarta Pusat",2,2,80,1650000000
"Kemayoran, Jakarta Pusat",2,2,165,3000000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",2,1,74,1500000000
"Kemayoran, Jakarta Pusat",2,1,45,545000000
"Kemayoran, Jakarta Pusat",1,1,33,575000000
"Kemayoran, Jakarta Pusat",2,1,48,850000000
"Kemayoran, Jakarta Pusat",1,1,33,439000000
"Kemayoran, Jakarta Pusat",2,1,51,950000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",1,1,24,280000000
"Kemayoran, Jakarta Pusat",2,1,55,1360000000
"Kemayoran, Jakarta Pusat",2,1,60,950000000
"Kemayoran, Jakarta Pusat",2,1,48,850000000
"Kemayoran, Jakarta Pusat",2,1,51,950000000
"Kemayoran, Jakarta Pusat",2,1,73,1250000000
"Kemayoran, Jakarta Pusat",2,1,73,1250000000
"Kemayoran, Jakarta Pusat",2,1,62,790000000
"Kemayoran, Jakarta Pusat",2,1,58,600000000
"Kemayoran, Jakarta Pusat",2,1,73,950000000
"Sumur Batu, Jakarta Pusat",2,1,35,410000000
"Kemayoran, Jakarta Pusat",1,1,28,450000000
"Kemayoran, Jakarta Pusat",3,2,99,1970000000
"Kemayoran, Jakarta Pusat",3,1,97,1100000000
"Kemayoran, Jakarta Pusat",2,1,49,1500000000
"Kemayoran, Jakarta Pusat",2,1,49,1550000000
"Kemayoran, Jakarta Pusat",2,3,105,1850000000
"Kemayoran, Jakarta Pusat",3,2,99,1970000000
"Kemayoran, Jakarta Pusat",3,2,99,1970000000
"Kemayoran, Jakarta Pusat",3,2,120,1200000000
"Kemayoran, Jakarta Pusat",2,1,60,970000000
"Kemayoran, Jakarta Pusat",2,1,74,1100000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,1150000000
"Kemayoran, Jakarta Pusat",2,1,51,850000000
"Kemayoran, Jakarta Pusat",2,1,70,1090000000
"Kemayoran, Jakarta Pusat",2,2,70,1090000000
"Kemayoran, Jakarta Pusat",2,1,52,1200000000
"Kemayoran, Jakarta Pusat",2,1,73,1300000000
"Kemayoran, Jakarta Pusat",2,1,119,1900000000
"Kemayoran, Jakarta Pusat",1,1,40,1200000000
"Kemayoran, Jakarta Pusat",3,2,99,1200000000
"Kemayoran, Jakarta Pusat",3,2,99,1200000000
"Kemayoran, Jakarta Pusat",3,2,99,1500000000
"Kemayoran, Jakarta Pusat",3,2,99,1500000000
"Kemayoran, Jakarta Pusat",1,1,76,1200000000
"Kemayoran, Jakarta Pusat",1,1,35,1280000000
"Kemayoran, Jakarta Pusat",2,1,70,1090000000
"Kemayoran, Jakarta Pusat",2,1,70,1090000000
"Kemayoran, Jakarta Pusat",2,1,70,1090000000
"Kemayoran, Jakarta Pusat",2,1,60,1250000000
"Kemayoran, Jakarta Pusat",2,1,73,1300000000
"Kemayoran, Jakarta Pusat",2,2,120,1200000000
"Kemayoran, Jakarta Pusat",2,1,85,1350000000
"Kemayoran, Jakarta Pusat",2,1,35,395000000
"Kemayoran, Jakarta Pusat",2,1,35,385000000
"Kemayoran, Jakarta Pusat",3,2,117,2700000000
"Kemayoran, Jakarta Pusat",3,2,74,890000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",3,2,92,700000000
"Kemayoran, Jakarta Pusat",3,2,92,700000000
"Kemayoran, Jakarta Pusat",2,2,70,650000000
"Kemayoran, Jakarta Pusat",3,1,99,2100000000
"Kemayoran, Jakarta Pusat",2,1,76,1100000000
"Kemayoran, Jakarta Pusat",2,2,50,1800000000
"Kemayoran, Jakarta Pusat",3,2,67,1000000000
"Kemayoran, Jakarta Pusat",2,2,85,1100000000
"Kemayoran, Jakarta Pusat",2,1,76,1000000000
"Kemayoran, Jakarta Pusat",1,1,42,525000000
"Kemayoran, Jakarta Pusat",2,2,80,1800000000
"Kemayoran, Jakarta Pusat",2,2,68,600000000
"Kemayoran, Jakarta Pusat",2,2,73,1500000000
"Kemayoran, Jakarta Pusat",2,1,119,2100000000
"Kemayoran, Jakarta Pusat",2,1,51,850000000
"Kemayoran, Jakarta Pusat",2,2,67,1000000000
"Kemayoran, Jakarta Pusat",2,1,42,475000000
"Kemayoran, Jakarta Pusat",2,1,62,1100000000
"Kemayoran, Jakarta Pusat",1,1,22,800000000
"Kemayoran, Jakarta Pusat",2,1,48,850000000
"Kemayoran, Jakarta Pusat",2,1,51,850000000
"Kemayoran, Jakarta Pusat",2,1,51,850000000
"Kemayoran, Jakarta Pusat",2,1,73,960000000
"Kemayoran, Jakarta Pusat",2,1,36,370000000
"Kemayoran, Jakarta Pusat",1,1,40,1150000000
"Kemayoran, Jakarta Pusat",3,2,92,700000000
"Kemayoran, Jakarta Pusat",1,1,40,1150000000
"Kemayoran, Jakarta Pusat",1,1,57,850000000
"Kemayoran, Jakarta Pusat",1,1,57,950000000
"Kemayoran, Jakarta Pusat",2,1,70,995000000
"Kemayoran, Jakarta Pusat",1,1,35,1500000000
"Kemayoran, Jakarta Pusat",2,1,71,1100000000
"Kemayoran, Jakarta Pusat",2,1,45,470000000
"Kemayoran, Jakarta Pusat",2,1,51,900000000
"Kemayoran, Jakarta Pusat",2,1,48,900000000
"Kemayoran, Jakarta Pusat",1,1,31,650000000
"Kemayoran, Jakarta Pusat",1,1,35,600000000
"Kemayoran, Jakarta Pusat",2,1,49,725000000
"Kemayoran, Jakarta Pusat",2,1,76,975000000
"Kemayoran, Jakarta Pusat",1,1,57,800000000
"Kemayoran, Jakarta Pusat",2,2,96,950000000
"Kemayoran, Jakarta Pusat",3,2,90,2000000000
"Kemayoran, Jakarta Pusat",1,1,35,1020000000
"Kemayoran, Jakarta Pusat",2,1,60,1100000000
"Kemayoran, Jakarta Pusat",3,2,76,2900000000
"Kemayoran, Jakarta Pusat",1,1,57,875000000
"Kemayoran, Jakarta Pusat",1,1,50,1000000000
"Kemayoran, Jakarta Pusat",2,1,85,1300000000
"Kemayoran, Jakarta Pusat",2,1,33,375000000
"Kemayoran, Jakarta Pusat",1,1,73,1200000000
"Kemayoran, Jakarta Pusat",3,2,77,2800000000
"Kemayoran, Jakarta Pusat",3,2,125,2250000000
"Kemayoran, Jakarta Pusat",2,1,74,950000000
"Kemayoran, Jakarta Pusat",3,2,76,3500000000
"Kemayoran, Jakarta Pusat",1,1,31,700000000
"Kemayoran, Jakarta Pusat",2,1,73,1250000000
"Kemayoran, Jakarta Pusat",1,1,35,1380000000
"Kemayoran, Jakarta Pusat",2,1,73,1100000000
"Kemayoran, Jakarta Pusat",1,1,35,1480000000
"Kemayoran, Jakarta Pusat",3,2,120,1200000000
"Kemayoran, Jakarta Pusat",3,2,120,1200000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,72,2400000000
"Kemayoran, Jakarta Pusat",1,1,32,500000000
"Kemayoran, Jakarta Pusat",1,1,40,1800000000
"Kemayoran, Jakarta Pusat",2,1,45,1650000000
"Kemayoran, Jakarta Pusat",1,1,33,460000000
"Kemayoran, Jakarta Pusat",1,1,33,470000000
"Kemayoran, Jakarta Pusat",2,1,58,1050000000
"Kemayoran, Jakarta Pusat",2,1,62,1200000000
"Kemayoran, Jakarta Pusat",3,2,73,1200000000
"Kemayoran, Jakarta Pusat",2,1,62,1200000000
"Kemayoran, Jakarta Pusat",1,1,49,760000000
"Kemayoran, Jakarta Pusat",2,1,60,1200000000
"Kemayoran, Jakarta Pusat",2,3,139,3400000000
"Kemayoran, Jakarta Pusat",3,2,147,3500000000
"Kemayoran, Jakarta Pusat",1,1,33,635000000
"Kemayoran, Jakarta Pusat",1,1,33,460000000
"Kemayoran, Jakarta Pusat",2,1,76,2300000000
"Kemayoran, Jakarta Pusat",3,2,94,1100000000
"Kemayoran, Jakarta Pusat",1,1,45,900000000
"Kemayoran, Jakarta Pusat",1,1,33,635000000
"Kemayoran, Jakarta Pusat",1,1,60,1200000000
"Kemayoran, Jakarta Pusat",2,1,51,950000000
"Kemayoran, Jakarta Pusat",1,1,57,980000000
"Kemayoran, Jakarta Pusat",2,1,57,875000000
"Kemayoran, Jakarta Pusat",2,1,62,810000000
"Kemayoran, Jakarta Pusat",3,3,100,1850000000
"Kemayoran, Jakarta Pusat",2,1,58,780000000
"Kemayoran, Jakarta Pusat",1,1,57,800000000
"Kemayoran, Jakarta Pusat",2,2,51,1150000000
"Kemayoran, Jakarta Pusat",1,1,73,1250000000
"Kemayoran, Jakarta Pusat",2,1,58,900000000
"Kemayoran, Jakarta Pusat",2,1,62,810000000
"Kemayoran, Jakarta Pusat",3,2,120,1200000000
"Kemayoran, Jakarta Pusat",3,2,119,2700000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",2,1,76,1200000000
"Kemayoran, Jakarta Pusat",1,1,76,1550000000
"Kemayoran, Jakarta Pusat",2,2,60,850000000
"Kemayoran, Jakarta Pusat",2,1,57,900000000
"Kemayoran, Jakarta Pusat",2,1,73,1350000000
"Kemayoran, Jakarta Pusat",1,1,42,525000000
"Kemayoran, Jakarta Pusat",2,2,76,1200000000
"Kemayoran, Jakarta Pusat",3,2,99,2100000000
"Kemayoran, Jakarta Pusat",2,1,60,850000000
"Kemayoran, Jakarta Pusat",1,1,42,525000000
"Kemayoran, Jakarta Pusat",2,1,62,950000000
"Kemayoran, Jakarta Pusat",2,1,62,950000000
"Kemayoran, Jakarta Pusat",2,1,62,950000000
"Kemayoran, Jakarta Pusat",2,1,74,1200000000
"Kemayoran, Jakarta Pusat",2,2,60,850000000
"Kemayoran, Jakarta Pusat",1,1,57,775000000
"Kemayoran, Jakarta Pusat",1,1,76,1550000000
"Kemayoran, Jakarta Pusat",2,1,60,1100000000
"Kemayoran, Jakarta Pusat",2,1,51,1000000000
"Kemayoran, Jakarta Pusat",1,1,32,350000000
"Kemayoran, Jakarta Pusat",2,2,70,790000000
"Kemayoran, Jakarta Pusat",3,3,97,800000000
"Kemayoran, Jakarta Pusat",2,2,74,1100000000
"Kemayoran, Jakarta Pusat",2,2,62,1000000000
"Kemayoran, Jakarta Pusat",2,1,74,1100000000
"Kemayoran, Jakarta Pusat",2,1,62,850000000
"Kemayoran, Jakarta Pusat",3,3,95,750000000
"Kemayoran, Jakarta Pusat",2,1,76,950000000
"Kemayoran, Jakarta Pusat",2,1,70,1200000000
"Kemayoran, Jakarta Pusat",2,1,62,850000000
"Kemayoran, Jakarta Pusat",2,1,57,875000000
"Kemayoran, Jakarta Pusat",2,1,90,900000000
"Kemayoran, Jakarta Pusat",2,1,57,875000000
"Kemayoran, Jakarta Pusat",2,1,57,875000000
"Kemayoran, Jakarta Pusat",1,1,33,850000000
"Kemayoran, Jakarta Pusat",3,2,100,1250000000
"Kemayoran, Jakarta Pusat",2,1,36,515000000
"Kemayoran, Jakarta Pusat",2,2,70,600000000
"Kemayoran, Jakarta Pusat",2,2,90,1350000000
"Kemayoran, Jakarta Pusat",1,1,31,550000000
"Kemayoran, Jakarta Pusat",1,1,23,800000000
"Kemayoran, Jakarta Pusat",2,1,38,400000000
"Kemayoran, Jakarta Pusat",2,1,33,490000000
"Kemayoran, Jakarta Pusat",2,1,73,1300000000
"Kemayoran, Jakarta Pusat",2,1,33,490000000
"Kemayoran, Jakarta Pusat",2,1,76,1270000000
"Kemayoran, Jakarta Pusat",2,1,36,360000000
"Kemayoran, Jakarta Pusat",2,1,33,490000000
"Kemayoran, Jakarta Pusat",3,2,77,2800000000
"Kemayoran, Jakarta Pusat",2,1,33,490000000
"Kemayoran, Jakarta Pusat",3,2,97,1100000000
"Kemayoran, Jakarta Pusat",2,1,48,980000000
"Kemayoran, Jakarta Pusat",1,1,76,1300000000
"Kemayoran, Jakarta Pusat",3,2,90,1700000000
"Kemayoran, Jakarta Pusat",2,1,73,1500000000
"Kemayoran, Jakarta Pusat",2,1,165,2800000000
"Kemayoran, Jakarta Pusat",2,1,165,2800000000
"Kemayoran, Jakarta Pusat",1,1,40,1250000000
"Kemayoran, Jakarta Pusat",1,1,35,1380000000
"Kemayoran, Jakarta Pusat",1,1,35,1380000000
"Kemayoran, Jakarta Pusat",2,1,76,1300000000
"Kemayoran, Jakarta Pusat",2,1,76,1300000000
"Kemayoran, Jakarta Pusat",1,1,76,1300000000
"Kemayoran, Jakarta Pusat",1,1,76,1300000000
"Kemayoran, Jakarta Pusat",2,2,165,2900000000
"Kemayoran, Jakarta Pusat",2,1,76,1300000000
"Kemayoran, Jakarta Pusat",3,2,76,850000000
"Kemayoran, Jakarta Pusat",3,2,77,850000000
"Kemayoran, Jakarta Pusat",3,2,80,1800000000
"Kemayoran, Jakarta Pusat",2,1,45,1500000000
"Kemayoran, Jakarta Pusat",3,2,97,1200000000
"Kemayoran, Jakarta Pusat",1,1,35,1200000000
"Kemayoran, Jakarta Pusat",3,2,77,850000000
"Kemayoran, Jakarta Pusat",2,2,44,570000000
"Kemayoran, Jakarta Pusat",2,2,165,2900000000
"Kemayoran, Jakarta Pusat",1,1,31,585000000
"Kemayoran, Jakarta Pusat",2,1,49,900000000
