lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Menteng, Jakarta Pusat",1,1,33,1380000000
"Menteng Atas, Jakarta Pusat",2,1,42,1200000000
"Menteng Atas, Jakarta Pusat",1,1,40,1100000000
"Menteng Atas, Jakarta Pusat",1,1,40,1100000000
"Menteng Atas, Jakarta Pusat",2,1,42,1200000000
"Menteng, Jakarta Pusat",1,1,33,1380000000
"Menteng Atas, Jakarta Pusat",2,1,42,1200000000
"Menteng Atas, Jakarta Pusat",1,1,40,1100000000
"Cikini, Jakarta Pusat",1,1,28,1200000000
"Menteng, Jakarta Pusat",1,1,28,1300000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,2,72,3650000000
"Cikini, Jakarta Pusat",1,1,33,1400000000
"Cikini, Jakarta Pusat",2,1,61,3200000000
"Cikini, Jakarta Pusat",2,2,64,2850000000
"Menteng, Jakarta Pusat",2,2,61,3900000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",2,1,61,2400000000
"Cikini, Jakarta Pusat",2,2,60,2370000000
"Menteng Atas, Jakarta Pusat",2,2,74,1350000000
"Menteng, Jakarta Pusat",2,1,53,2000000000
"Pegangsaan, Jakarta Pusat",2,1,48,630000000
"Menteng, Jakarta Pusat",2,1,58,2300000000
"Menteng, Jakarta Pusat",1,1,52,1500000000
"Menteng, Jakarta Pusat",1,1,33,1510000000
"Menteng, Jakarta Pusat",2,2,66,2950000000
"Menteng, Jakarta Pusat",2,1,61,2300000000
"Menteng, Jakarta Pusat",1,1,28,950000000
"Menteng, Jakarta Pusat",1,1,28,950000000
"Menteng, Jakarta Pusat",2,1,60,2700000000
"Menteng, Jakarta Pusat",2,1,64,3350000000
"Cikini, Jakarta Pusat",2,1,61,2700000000
"Menteng, Jakarta Pusat",1,1,33,1650000000
"Menteng, Jakarta Pusat",2,1,57,2300000000
"Menteng, Jakarta Pusat",1,1,45,2100000000
